genres,id,popularity,poster_path,release_date,revenue,runtime,status,title,vote_average,vote_count
"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",862,21.946943,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995-10-30,373554033,81.0,Released,Toy Story,7.7,5415
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",8844,17.015539,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995-12-15,262797249,104.0,Released,Jumanji,6.9,2413
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",15602,11.7129,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,1995-12-22,0,101.0,Released,Grumpier Old Men,6.5,92
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",31357,3.859495,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995-12-22,81452156,127.0,Released,Waiting to Exhale,6.1,34
"[{'id': 35, 'name': 'Comedy'}]",11862,8.387519,/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995-02-10,76578911,106.0,Released,Father of the Bride Part II,5.7,173
"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",949,17.924927,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995-12-15,187436818,170.0,Released,Heat,7.7,1886
"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",11860,6.677277,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995-12-15,0,127.0,Released,Sabrina,6.2,141
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",45325,2.561161,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,1995-12-22,0,97.0,Released,Tom and Huck,5.4,45
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9091,5.23158,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995-12-22,64350171,106.0,Released,Sudden Death,5.5,174
"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",710,14.686036,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995-11-16,352194034,130.0,Released,GoldenEye,6.6,1194
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9087,6.318445,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995-11-17,107879496,106.0,Released,The American President,6.5,199
"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",12110,5.430331,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995-12-22,0,88.0,Released,Dracula: Dead and Loving It,5.7,210
"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",21032,12.140733,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,1995-12-22,11348324,78.0,Released,Balto,7.1,423
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",10858,5092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995-12-22,13681765,192.0,Released,Nixon,7.1,72
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1408,7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995-12-22,10017322,119.0,Released,Cutthroat Island,5.7,137
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",524,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,116112375,178.0,Released,Casino,7.8,1343
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4584,10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995-12-13,135000000,136.0,Released,Sense and Sensibility,7.2,364
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",5,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995-12-09,4300000,98.0,Released,Four Rooms,6.5,539
"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",9273,8.205448,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995-11-10,212385533,90.0,Released,Ace Ventura: When Nature Calls,6.1,1128
"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",11517,7.337906,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995-11-21,35431113,103.0,Released,Money Train,5.4,224
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",8012,12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,1995-10-20,115101622,105.0,Released,Get Shorty,6.4,305
"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1710,10.701801,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1995-10-27,0,124.0,Released,Copycat,6.5,199
"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",9691,11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995-10-06,30303072,132.0,Released,Assassins,6.0,394
"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",12665,12.133094,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,1995-10-27,0,111.0,Released,Powder,6.3,143
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",451,10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995-10-27,49800000,112.0,Released,Leaving Las Vegas,7.1,365
"[{'id': 18, 'name': 'Drama'}]",16420,1.845899,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,1995-12-15,0,123.0,Released,Othello,7.0,33
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",9263,8.681325,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995-10-20,27400000,100.0,Released,Now and Then,6.6,91
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",17015,2.228434,/si8911IezMvAnQFDvyg1nKzDlD.jpg,1995-09-27,0,104.0,Released,Persuasion,7.4,36
"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",902,9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995-05-16,1738611,108.0,Released,The City of Lost Children,7.6,308
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",37557,1.100915,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,1995-04-30,0,108.0,Released,Shanghai Triad,6.5,17
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",9909,9.481338,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,1995-08-11,180000000,99.0,Released,Dangerous Minds,6.4,249
"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",63,12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995-12-29,168840000,129.0,Released,Twelve Monkeys,7.4,2470
"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]",78802,0.745542,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,1996-09-18,0,50.0,Released,Wings of Courage,6.8,4
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9598,14.404764,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995-07-18,254134910,89.0,Released,Babe,6.0,756
"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",47018,1.493361,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,1995-11-08,0,121.0,Released,Carrington,6.4,16
"[{'id': 18, 'name': 'Drama'}]",687,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995-12-29,39363635,122.0,Released,Dead Man Walking,7.3,350
"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",139405,0.114469,/lKOAyy098yjoot8cutYsStVO1WS.jpg,1995-10-20,0,51.0,Released,Across the Sea of Time,3.5,2
"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",33689,7.777735,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,1995-11-17,0,101.0,Released,It Takes Two,6.1,149
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9603,9.882383,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995-07-19,0,97.0,Released,Clueless,6.9,828
"[{'id': 18, 'name': 'Drama'}]",34615,0.894647,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,1995-12-15,676525,106.0,Released,"Cry, the Beloved Country",6.7,13
