userId,name,age,country,sex
1,User1,29,Brazil,M
2,User2,46,Germany,M
3,User3,50,USA,M
4,User4,29,Brazil,M
5,User5,41,Mexico,F
6,User6,48,Australia,M
7,User7,40,Germany,F
8,User8,33,Japan,M
9,User9,65,Australia,M
10,User10,49,India,F
11,User11,44,Mexico,F
12,User12,46,Brazil,F
13,User13,21,Japan,M
14,User14,31,Mexico,F
15,User15,66,Australia,M
16,User16,18,USA,F
17,User17,51,France,F
18,User18,62,Brazil,F
19,User19,19,Mexico,F
20,User20,34,France,M
21,User21,46,Brazil,M
22,User22,49,Brazil,F
23,User23,32,Germany,F
24,User24,41,Canada,M
25,User25,33,France,F
26,User26,69,Mexico,M
27,User27,52,India,F
28,User28,18,France,F
29,User29,56,UK,F
30,User30,44,India,M
31,User31,33,UK,M
32,User32,24,Canada,M
33,User33,28,Canada,F
34,User34,21,Canada,F
35,User35,29,USA,F
36,User36,18,India,F
37,User37,36,USA,F
38,User38,64,Australia,F
39,User39,49,Germany,M
40,User40,31,Brazil,M
41,User41,36,Canada,F
42,User42,39,Mexico,F
43,User43,46,France,M
44,User44,24,USA,F
45,User45,19,India,F
46,User46,51,Mexico,F
47,User47,22,France,M
48,User48,53,India,M
49,User49,51,Brazil,F
50,User50,34,Canada,M
51,User51,41,France,F
52,User52,64,USA,M
53,User53,33,Germany,M
54,User54,18,Japan,M
55,User55,60,Japan,M
56,User56,52,UK,F
57,User57,24,Germany,M
58,User58,51,Mexico,M
59,User59,56,Australia,M
60,User60,62,Australia,M
61,User61,52,USA,M
62,User62,37,Brazil,F
63,User63,39,UK,F
64,User64,26,Canada,M
65,User65,47,USA,F
66,User66,42,Brazil,F
67,User67,42,Australia,F
68,User68,56,France,F
69,User69,56,UK,F
70,User70,37,Germany,F
71,User71,41,Brazil,M
72,User72,22,Australia,M
73,User73,57,Brazil,M
74,User74,43,Mexico,M
75,User75,47,USA,F
76,User76,57,France,M
77,User77,25,Mexico,M
78,User78,46,USA,M
79,User79,55,Mexico,M
80,User80,38,Japan,F
81,User81,51,UK,M
82,User82,47,France,F
83,User83,20,India,F
84,User84,25,UK,F
85,User85,30,Canada,M
86,User86,21,France,F
87,User87,28,Japan,M
88,User88,45,Brazil,M
89,User89,53,India,F
90,User90,42,India,F
91,User91,29,UK,F
92,User92,57,Mexico,F
93,User93,60,India,M
94,User94,24,Canada,M
95,User95,66,Mexico,M
96,User96,29,Japan,M
97,User97,50,Australia,M
98,User98,29,Canada,M
99,User99,63,Canada,M
100,User100,67,Germany,F
101,User101,55,UK,M
102,User102,27,Australia,M
103,User103,56,India,F
104,User104,24,Canada,F
105,User105,20,Canada,F
106,User106,32,Japan,F
107,User107,21,USA,M
108,User108,40,Japan,F
109,User109,57,UK,M
110,User110,24,Brazil,M
111,User111,44,UK,M
112,User112,68,Brazil,F
113,User113,65,Australia,F
114,User114,65,India,F
115,User115,40,Germany,F
116,User116,36,UK,F
117,User117,48,India,M
118,User118,63,Mexico,F
119,User119,56,Germany,F
120,User120,69,Japan,F
121,User121,19,France,M
122,User122,32,India,M
123,User123,59,Canada,F
124,User124,22,Mexico,M
125,User125,26,Germany,F
126,User126,31,UK,M
127,User127,69,Germany,F
128,User128,70,Mexico,M
129,User129,34,Australia,M
130,User130,22,Mexico,M
131,User131,65,Brazil,F
132,User132,51,Australia,F
133,User133,64,Australia,M
134,User134,23,Brazil,F
135,User135,44,USA,F
136,User136,56,UK,F
137,User137,20,India,F
138,User138,51,UK,F
139,User139,25,Japan,F
140,User140,64,UK,M
141,User141,42,UK,F
142,User142,39,Brazil,F
143,User143,27,Germany,M
144,User144,67,Australia,F
145,User145,24,India,F
146,User146,20,Brazil,M
147,User147,29,France,F
148,User148,51,Mexico,M
149,User149,58,Germany,M
150,User150,52,Germany,M
151,User151,26,Germany,M
152,User152,44,Japan,F
153,User153,67,France,F
154,User154,48,Japan,M
155,User155,45,USA,F
156,User156,47,France,M
157,User157,32,Germany,F
158,User158,67,Brazil,M
159,User159,33,Brazil,F
160,User160,51,India,M
161,User161,49,USA,F
162,User162,28,Brazil,M
163,User163,62,India,M
164,User164,19,France,F
165,User165,26,Mexico,M
166,User166,50,Germany,M
167,User167,68,Japan,F
168,User168,47,USA,F
169,User169,56,Brazil,M
170,User170,59,Brazil,F
171,User171,51,Mexico,F
172,User172,18,Brazil,M
173,User173,65,Australia,M
174,User174,18,USA,M
175,User175,65,USA,M
176,User176,32,Australia,M
177,User177,64,Mexico,M
178,User178,45,France,M
179,User179,34,USA,M
180,User180,41,Mexico,M
181,User181,60,Canada,F
182,User182,50,UK,M
183,User183,32,Japan,M
184,User184,26,Australia,F
185,User185,21,Germany,M
186,User186,51,USA,F
187,User187,23,France,M
188,User188,52,India,M
189,User189,45,Canada,M
190,User190,53,Mexico,F
191,User191,46,UK,F
192,User192,42,Brazil,M
193,User193,48,Canada,M
194,User194,44,Japan,F
195,User195,36,Brazil,F
196,User196,33,Australia,M
197,User197,18,Canada,M
198,User198,27,USA,M
199,User199,51,Germany,M
200,User200,43,Brazil,F
201,User201,55,India,F
202,User202,23,India,F
203,User203,24,Germany,M
204,User204,22,India,M
205,User205,49,India,M
206,User206,57,Japan,M
207,User207,54,Germany,M
208,User208,18,Canada,F
209,User209,50,India,F
210,User210,23,Brazil,F
211,User211,21,Japan,F
212,User212,39,France,M
